source_split,target,family,functional_family,n_qubits,tensor_size,original_tcount,objective_variant,execution_status,has_beam_candidate,factor_count,factor_qubit_concentration_index,factor_support_weight_mean,factor_pairwise_support_overlap_mean,factor_pairwise_jaccard_mean,decomp_tcount,decomp_tdepth,decomp_qasm_depth,decomp_qasm_depth_ratio,decomp_structural_status,optimization_elapsed_sec,materialization_elapsed_sec,objective_elapsed_sec,best_beam_materializer,best_beam_tcount,best_beam_tdepth,best_beam_qasm_depth,best_beam_qasm_depth_ratio,best_beam_primary_nc_depth_ratio,best_beam_cnots,target_objective_count,train_ready,oracle_objective,oracle_selection_status,objective_t_safe,objective_qasm_safe,objective_is_oracle,objective_rank,best_beam_summary_path
external_standard,nc_tof_4,arithmetic,toffoli-chain,7,11,35,factor_count_pair_cap,ok,True,32,0.108,3.125,0.9879032258064516,0.19998719918074756,32.0,7.0,287.0,4.629032258064516,missing-zx,,,,selected-beam-shared-parity-w16,32.0,6.0,248.0,4.0,,118.0,3,True,factor_count,constrained,False,True,False,,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
external_standard,nc_tof_4,arithmetic,toffoli-chain,7,11,35,mixed_pair,ok,True,32,0.10847107438016529,2.75,0.7580645161290323,0.16977326548899127,32.0,6.0,285.0,4.596774193548387,missing-zx,,,,selected-beam-shared-parity-w16,32.0,5.0,247.0,3.9838709677419355,,98.0,3,True,factor_count,constrained,False,True,False,,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/nc_tof_4/mixed_pair/selected-beam-shared-parity-w16/summary.json
external_standard,nc_tof_4,arithmetic,toffoli-chain,7,11,35,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
external_standard,nc_tof_4,arithmetic,toffoli-chain,7,11,35,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
external_standard,nc_tof_4,arithmetic,toffoli-chain,7,11,35,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,3,True,factor_count,constrained,False,False,False,,
external_standard,vbe_adder_3,arithmetic,adder,10,14,70,factor_count,ok,True,65,0.0866,3.076923076923077,0.7846153846153846,0.1567855235042735,65.0,15.0,438.0,4.515463917525773,missing-zx,,,,selected-beam-shared-parity-w16,65.0,8.0,313.0,3.2268041237113403,,262.0,2,True,factor_count,constrained,True,True,True,1,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/vbe_adder_3/factor_count/selected-beam-shared-parity-w16/summary.json
external_standard,vbe_adder_3,arithmetic,adder,10,14,70,factor_count_pair_cap,ok,True,67,0.0822,2.985074626865672,0.6983265490728178,0.14751925796701915,67.0,11.0,457.0,4.711340206185567,missing-zx,,,,selected-beam-shared-parity-w16,67.0,7.0,311.0,3.2061855670103094,,274.0,2,True,factor_count,constrained,True,True,False,2,/home/CIN/cacl2/Deep-Learning/project/results/alphaq_objective_beam_policy_external_validation/vbe_adder_3/factor_count_pair_cap/selected-beam-shared-parity-w16/summary.json
external_standard,vbe_adder_3,arithmetic,adder,10,14,70,mixed_pair,failed,False,,,,,,,,,,not-materialized,,,,,,,,,,,2,True,factor_count,constrained,False,False,False,,
external_standard,vbe_adder_3,arithmetic,adder,10,14,70,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,2,True,factor_count,constrained,False,False,False,,
external_standard,vbe_adder_3,arithmetic,adder,10,14,70,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,2,True,factor_count,constrained,False,False,False,,
external_standard,vbe_adder_3,arithmetic,adder,10,14,70,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,2,True,factor_count,constrained,False,False,False,,
external_night_long,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,factor_count,ok,True,64,0.10080350620891161,2.3125,0.5109126984126984,0.13629298941798942,64.0,14.0,384.0,3.878787878787879,missing-zx,,,,selected-beam-shared-parity-w32,64.0,7.0,298.0,3.01010101010101,,162.0,2,True,mixed_pair,constrained,True,True,False,2,results/alphaq_objective_beam_policy_external_validation_night_long/barenco_tof_4/factor_count/selected-beam-shared-parity-w32/summary.json
external_night_long,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,factor_count_pair_cap,failed,False,,,,,,,,,,not-materialized,,,,,,,,,,,2,True,mixed_pair,constrained,False,False,False,,
external_night_long,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,mixed_pair,ok,True,42,0.08579565681737274,2.5238095238095237,0.49825783972125437,0.12205906752945081,42.0,7.0,304.0,3.0707070707070705,missing-zx,,,,selected-beam-shared-parity-w16,42.0,6.0,266.0,2.686868686868687,,118.0,2,True,mixed_pair,constrained,True,True,True,1,results/alphaq_objective_beam_policy_external_validation_night_long/barenco_tof_4/mixed_pair/selected-beam-shared-parity-w16/summary.json
external_night_long,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,2,True,mixed_pair,constrained,False,False,False,,
external_night_long,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,depth_guarded_mixed_pair,missing,False,,,,,,,,,,,,,,,,,,,,,2,True,mixed_pair,constrained,False,False,False,,
external_night_long,barenco_tof_4,arithmetic,toffoli-chain,7,14,56,t_preserving_frontier_pair,missing,False,,,,,,,,,,,,,,,,,,,,,2,True,mixed_pair,constrained,False,False,False,,
