policy,policy_type,fold_target,source_split,target,selection_status,selected_objective,fixed_objective,oracle_objective,exact_oracle_match,weights,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
split_select_linear_alphaq_decomp,alphaq-decomp,cuccaro_adder_n4,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,,factor_count,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",23.0,,241.0,23.0,,241.0,23.0,,241.0,1.0,,1.0,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,cuccaro_adder_n4,external_journal_full_cuccaro_adder_n4,cuccaro_adder_n4,ok,factor_count,,factor_count,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",23.0,,241.0,23.0,,241.0,23.0,,241.0,1.0,,1.0,1.0,1.0
baseline_factor_count,baseline,cuccaro_adder_n4,external_journal_k6_backfill,cuccaro_adder_n4,ok,factor_count,,depth_guarded_mixed_pair,False,,35.0,0.6372549019607843,260.0,35.0,0.6372549019607843,260.0,26.0,0.46078431372549017,241.0,1.0,1.0,1.0,1.3461538461538463,1.0788381742738589
best_fixed_loto,fixed-objective,cuccaro_adder_n4,external_journal_k6_backfill,cuccaro_adder_n4,ok,factor_count,factor_count,depth_guarded_mixed_pair,False,,35.0,0.6372549019607843,260.0,35.0,0.6372549019607843,260.0,26.0,0.46078431372549017,241.0,1.0,1.0,1.0,1.3461538461538463,1.0788381742738589
oracle_posthoc,oracle,cuccaro_adder_n4,external_journal_k6_backfill,cuccaro_adder_n4,ok,depth_guarded_mixed_pair,,depth_guarded_mixed_pair,True,,26.0,0.46078431372549017,241.0,35.0,0.6372549019607843,260.0,26.0,0.46078431372549017,241.0,0.7428571428571429,0.7230769230769231,0.926923076923077,1.0,1.0
split_select_linear_alphaq,alphaq-factor,cuccaro_adder_n4,external_journal_k6_backfill,cuccaro_adder_n4,ok,depth_guarded_mixed_pair,,depth_guarded_mixed_pair,True,"factor_count:2,factor_support_weight_mean:-1,factor_pairwise_support_overlap_mean:2,factor_pairwise_jaccard_mean:-1",26.0,0.46078431372549017,241.0,35.0,0.6372549019607843,260.0,26.0,0.46078431372549017,241.0,0.7428571428571429,0.7230769230769231,0.926923076923077,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,cuccaro_adder_n4,external_journal_k6_backfill,cuccaro_adder_n4,ok,depth_guarded_mixed_pair,,depth_guarded_mixed_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",26.0,0.46078431372549017,241.0,35.0,0.6372549019607843,260.0,26.0,0.46078431372549017,241.0,0.7428571428571429,0.7230769230769231,0.926923076923077,1.0,1.0
split_select_linear_alphaq_qasm,alphaq-qasm,cuccaro_adder_n4,external_journal_k6_backfill,cuccaro_adder_n4,ok,depth_guarded_mixed_pair,,depth_guarded_mixed_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",26.0,0.46078431372549017,241.0,35.0,0.6372549019607843,260.0,26.0,0.46078431372549017,241.0,0.7428571428571429,0.7230769230769231,0.926923076923077,1.0,1.0
baseline_factor_count,baseline,cuccaro_adder_n6,external_journal_k6_frontier,cuccaro_adder_n6,ok,factor_count,,t_preserving_frontier_pair,False,,195.0,2.835526315789474,692.0,195.0,2.835526315789474,692.0,192.0,2.7828947368421053,684.0,1.0,1.0,1.0,1.015625,1.0116959064327486
best_fixed_loto,fixed-objective,cuccaro_adder_n6,external_journal_k6_frontier,cuccaro_adder_n6,ok,factor_count,factor_count,t_preserving_frontier_pair,False,,195.0,2.835526315789474,692.0,195.0,2.835526315789474,692.0,192.0,2.7828947368421053,684.0,1.0,1.0,1.0,1.015625,1.0116959064327486
oracle_posthoc,oracle,cuccaro_adder_n6,external_journal_k6_frontier,cuccaro_adder_n6,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,,192.0,2.7828947368421053,684.0,195.0,2.835526315789474,692.0,192.0,2.7828947368421053,684.0,0.9846153846153847,0.9814385150812064,0.9884393063583815,1.0,1.0
split_select_linear_alphaq,alphaq-factor,cuccaro_adder_n6,external_journal_k6_frontier,cuccaro_adder_n6,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_count:2,factor_pairwise_support_overlap_mean:1",192.0,2.7828947368421053,684.0,195.0,2.835526315789474,692.0,192.0,2.7828947368421053,684.0,0.9846153846153847,0.9814385150812064,0.9884393063583815,1.0,1.0
split_select_linear_alphaq_decomp,alphaq-decomp,cuccaro_adder_n6,external_journal_k6_frontier,cuccaro_adder_n6,ok,t_preserving_frontier_pair,,t_preserving_frontier_pair,True,"factor_pairwise_support_overlap_mean:1,decomp_tcount:2",192.0,2.7828947368421053,684.0,195.0,2.835526315789474,692.0,192.0,2.7828947368421053,684.0,0.9846153846153847,0.9814385150812064,0.9884393063583815,1.0,1.0
