policy,source_split,target,selection_status,selected_objective,oracle_objective,exact_oracle_match,selected_tcount,selected_primary_nc_depth_ratio,selected_qasm_depth,selected_runtime_sec,baseline_tcount,baseline_primary_nc_depth_ratio,baseline_qasm_depth,baseline_runtime_sec,oracle_tcount,oracle_primary_nc_depth_ratio,oracle_qasm_depth,oracle_runtime_sec,tcount_ratio_vs_baseline,primary_ratio_vs_baseline,qasm_ratio_vs_baseline,runtime_ratio_vs_baseline,tcount_ratio_vs_oracle,qasm_ratio_vs_oracle
circuit_knn3,external_article_extended,gf_2pow4_mult,ok,mixed_pair,factor_count_pair_cap,False,63.0,0.7021276595744681,452.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,1.0862068965517242,0.9295774647887324,0.9804772234273319,,1.125,0.9783549783549783
circuit_nearest_centroid,external_article_extended,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,58.0,0.7553191489361702,461.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,1.0,1.0,1.0,,1.0357142857142858,0.9978354978354979
circuit_softmax,external_article_extended,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,58.0,0.7553191489361702,461.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,1.0,1.0,1.0,,1.0357142857142858,0.9978354978354979
shuffled_centroid_control,external_article_extended,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,58.0,0.7553191489361702,461.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,1.0,1.0,1.0,,1.0357142857142858,0.9978354978354979
oracle_posthoc,external_article_extended,gf_2pow4_mult,ok,factor_count_pair_cap,factor_count_pair_cap,True,56.0,0.7393617021276596,462.0,,58.0,0.7553191489361702,461.0,,56.0,0.7393617021276596,462.0,,0.9655172413793104,0.9788732394366197,1.002169197396963,,1.0,1.0
baseline_factor_count,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,57.0,,461.0,,57.0,,461.0,,55.0,,462.0,,1.0,,1.0,,1.0363636363636364,0.9978354978354979
best_fixed_loto,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,57.0,,461.0,,57.0,,461.0,,55.0,,462.0,,1.0,,1.0,,1.0363636363636364,0.9978354978354979
circuit_1nn,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count_pair_cap,factor_count_pair_cap,True,55.0,,462.0,,57.0,,461.0,,55.0,,462.0,,0.9649122807017544,,1.002169197396963,,1.0,1.0
circuit_knn3,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,mixed_pair,factor_count_pair_cap,False,63.0,,452.0,,57.0,,461.0,,55.0,,462.0,,1.105263157894737,,0.9804772234273319,,1.1454545454545455,0.9783549783549783
circuit_nearest_centroid,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,57.0,,461.0,,57.0,,461.0,,55.0,,462.0,,1.0,,1.0,,1.0363636363636364,0.9978354978354979
circuit_softmax,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count,factor_count_pair_cap,False,57.0,,461.0,,57.0,,461.0,,55.0,,462.0,,1.0,,1.0,,1.0363636363636364,0.9978354978354979
shuffled_centroid_control,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count_pair_cap,factor_count_pair_cap,True,55.0,,462.0,,57.0,,461.0,,55.0,,462.0,,0.9649122807017544,,1.002169197396963,,1.0,1.0
oracle_posthoc,external_journal_full_gf_2pow4_mult,gf_2pow4_mult,ok,factor_count_pair_cap,factor_count_pair_cap,True,55.0,,462.0,,57.0,,461.0,,55.0,,462.0,,0.9649122807017544,,1.002169197396963,,1.0,1.0
baseline_factor_count,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,ok,factor_count,factor_count,True,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,1.0,1.0,1.0,1.0,1.0,1.0
best_fixed_loto,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,ok,factor_count,factor_count,True,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,1.0,1.0,1.0,1.0,1.0,1.0
circuit_1nn,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,ok,factor_count,factor_count,True,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,1.0,1.0,1.0,1.0,1.0,1.0
circuit_knn3,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,ok,factor_count,factor_count,True,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,1.0,1.0,1.0,1.0,1.0,1.0
circuit_nearest_centroid,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,ok,frontier_pair,factor_count,False,163.0,1.1535836177474403,718.0,3157.2450209718663,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,1.0,1.0,1.0,1.0276994993138078,1.0,1.0
circuit_softmax,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,missing-selected-objective,factor_count_pair_cap,factor_count,,,,,,,,,,,,,,,,,,,
shuffled_centroid_control,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,missing-selected-objective,mixed_pair,factor_count,,,,,,,,,,,,,,,,,,,
oracle_posthoc,external_journal_full_gf_2pow5_mult_long,gf_2pow5_mult,ok,factor_count,factor_count,True,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,163.0,1.1535836177474403,718.0,3072.148057948798,1.0,1.0,1.0,1.0,1.0,1.0
baseline_factor_count,internal,hamming_weight_n4,ok,factor_count,mixed_pair,False,23.0,1.162162162162162,179.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,1.0,1.0,1.0,,1.15,1.0346820809248556
best_fixed_loto,internal,hamming_weight_n4,ok,factor_count,mixed_pair,False,23.0,1.162162162162162,179.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,1.0,1.0,1.0,,1.15,1.0346820809248556
circuit_1nn,internal,hamming_weight_n4,ok,factor_count_pair_cap,mixed_pair,False,21.0,0.972972972972973,165.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,0.9130434782608695,0.8372093023255816,0.9217877094972067,,1.05,0.953757225433526
circuit_knn3,internal,hamming_weight_n4,ok,factor_count,mixed_pair,False,23.0,1.162162162162162,179.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,1.0,1.0,1.0,,1.15,1.0346820809248556
circuit_nearest_centroid,internal,hamming_weight_n4,ok,mixed_pair,mixed_pair,True,20.0,0.8108108108108109,173.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,0.8695652173913043,0.6976744186046513,0.9664804469273743,,1.0,1.0
circuit_softmax,internal,hamming_weight_n4,ok,factor_count,mixed_pair,False,23.0,1.162162162162162,179.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,1.0,1.0,1.0,,1.15,1.0346820809248556
shuffled_centroid_control,internal,hamming_weight_n4,ok,factor_count,mixed_pair,False,23.0,1.162162162162162,179.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,1.0,1.0,1.0,,1.15,1.0346820809248556
oracle_posthoc,internal,hamming_weight_n4,ok,mixed_pair,mixed_pair,True,20.0,0.8108108108108109,173.0,,23.0,1.162162162162162,179.0,,20.0,0.8108108108108109,173.0,,0.8695652173913043,0.6976744186046513,0.9664804469273743,,1.0,1.0
